"Name","Poverty by Race/Ethnicity"
"Description","Individuals living in households with incomes below the Federal Poverty Level (FPL) by racial/ethnic groups.&nbsp;Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race.&nbsp;"
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample File (2007-2018); retrieved from <a href=""https://data.census.gov/"">https://data.census.gov/</a>."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2018, the FPL for a household consisting of two adults and two children was $25,100. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates.&nbsp;<br />
<br />
Poverty data displayed in Race/Ethnicity breakdown may differ slightly from poverty data displayed in Total breakdown because data in Race/Ethnicity breakdown were derived from Census Public Use Microdata files, while data in Total breakdown were derived from Census summary table files. (See sources.)&nbsp;Percents refer to the percent of the population of the selected racial/ethnic group for whom poverty status was determined.&nbsp;"
Rego Park/Forest Hills,Latino,2008,Percent,0.03854,406
Fresh Meadows/Briarwood,Latino,2008,Percent,0.03883,408
Queens Village,White,2012,Percent,0.03947,413
Elmhurst/Corona,White,2008,Percent,0.04032,404
Howard Beach,White,2012,Percent,0.04042,410
Battery Park/Tribeca,Latino,2011,Percent,0.04113,101
Greenwich Village,Latino,2011,Percent,0.04113,102
Flushing,White,2012,Percent,0.04171,407
Rego Park/Forest Hills,Asian,2008,Percent,0.04177,406
Murray Hill/Stuyvesant,Black,2008,Percent,0.04226,106
Upper West Side,White,2012,Percent,0.04249,107
Riverdale,White,2008,Percent,0.04279,208
Tottenville,Black,2012,Percent,0.04279,503
Rego Park/Forest Hills,Asian,2011,Percent,0.04307,406
Sheepshead Bay,Latino,2008,Percent,0.04409,315
Park Slope,Asian,2012,Percent,0.04427,306
The Rockaways,White,2008,Percent,0.04439,414
Battery Park/Tribeca,White,2011,Percent,0.04478,101
Greenwich Village,White,2011,Percent,0.04478,102
Rego Park/Forest Hills,All Races and Ethnicities,2011,Percent,0.04478,406
Staten Island,White,2008,Percent,0.04484,36085
Riverdale,White,2011,Percent,0.04543,208
Bayside,White,2011,Percent,0.04551,411
Elmhurst/Corona,Black,2008,Percent,0.04563,404
Rego Park/Forest Hills,White,2011,Percent,0.04573,406
Fresh Meadows/Briarwood,Asian,2008,Percent,0.04608,408
Williamsbridge,White,2012,Percent,0.04662,212
Murray Hill/Stuyvesant,White,2008,Percent,0.04687,106
Battery Park/Tribeca,Latino,2012,Percent,0.04879,101
Greenwich Village,Latino,2012,Percent,0.04879,102
Battery Park/Tribeca,White,2012,Percent,0.04949,101
Greenwich Village,White,2012,Percent,0.04949,102
Flushing,Black,2012,Percent,0.04962,407
Elmhurst/Corona,Black,2011,Percent,0.04976,404
Upper West Side,White,2008,Percent,0.04986,107
South Beach,White,2008,Percent,0.04998,502
Fresh Meadows/Briarwood,White,2008,Percent,0.05167,408
Concourse/Highbridge,White,2012,Percent,0.05174,204
Upper East Side,White,2011,Percent,0.0521,108
Tottenville,All Races and Ethnicities,2011,Percent,0.05272,503
Battery Park/Tribeca,White,2008,Percent,0.05291,101
Greenwich Village,White,2008,Percent,0.05291,102
Upper East Side,All Races and Ethnicities,2011,Percent,0.05373,108
Upper East Side,All Races and Ethnicities,2008,Percent,0.05386,108
Upper West Side,White,2011,Percent,0.05434,107
Rego Park/Forest Hills,Black,2008,Percent,0.05449,406
Woodhaven,White,2011,Percent,0.05455,409
Upper East Side,Latino,2008,Percent,0.0546,108
Sunnyside/Woodside,White,2008,Percent,0.05516,402
Sunnyside/Woodside,Black,2011,Percent,0.05524,402
Rego Park/Forest Hills,All Races and Ethnicities,2008,Percent,0.05529,406
Tottenville,White,2012,Percent,0.05583,503
Canarsie,White,2012,Percent,0.05597,318
Tottenville,White,2011,Percent,0.05598,503
Riverdale,Asian,2008,Percent,0.05749,208
Bensonhurst,Black,2008,Percent,0.05833,311
Crown Heights South,Asian,2011,Percent,0.05944,309
Tottenville,All Races and Ethnicities,2012,Percent,0.05947,503
Rego Park/Forest Hills,Latino,2011,Percent,0.05949,406
Chelsea/Clinton,White,2012,Percent,0.05971,104
Midtown Business District,White,2012,Percent,0.05971,105
Fresh Meadows/Briarwood,All Races and Ethnicities,2008,Percent,0.05977,408
Bayside,White,2012,Percent,0.06061,411
Staten Island,White,2012,Percent,0.06109,36085
Murray Hill/Stuyvesant,White,2012,Percent,0.0619,106
Bayside,All Races and Ethnicities,2008,Percent,0.06237,411
Upper East Side,White,2012,Percent,0.06267,108
Murray Hill/Stuyvesant,Asian,2012,Percent,0.06283,106
Queens Village,White,2011,Percent,0.06283,413
Battery Park/Tribeca,All Races and Ethnicities,2011,Percent,0.06286,101
Greenwich Village,All Races and Ethnicities,2011,Percent,0.06286,102
Rego Park/Forest Hills,Black,2012,Percent,0.06287,406
Throgs Neck,White,2012,Percent,0.06389,210
South Beach,Latino,2008,Percent,0.06402,502
Riverdale,White,2012,Percent,0.06404,208
South Beach,All Races and Ethnicities,2008,Percent,0.06419,502
Queens Village,Latino,2008,Percent,0.06438,413
Rego Park/Forest Hills,White,2008,Percent,0.06439,406
South Beach,White,2012,Percent,0.06472,502
Manhattan,White,2008,Percent,0.06544,36061
St. George,White,2012,Percent,0.06674,501
St. George,Asian,2008,Percent,0.06682,501
Park Slope,White,2011,Percent,0.06745,306
Central Harlem,White,2012,Percent,0.06748,110
Manhattan,White,2012,Percent,0.06807,36061
Riverdale,Black,2012,Percent,0.06889,208
Staten Island,Asian,2008,Percent,0.0693,36085
Park Slope,White,2012,Percent,0.06954,306
South Beach,All Races and Ethnicities,2012,Percent,0.07045,502
Queens Village,Black,2008,Percent,0.07058,413
Queens Village,Black,2011,Percent,0.07075,413
Throgs Neck,White,2011,Percent,0.07082,210
Ridgewood/Glendale,White,2011,Percent,0.07148,405
South Beach,White,2011,Percent,0.07175,502
Murray Hill/Stuyvesant,All Races and Ethnicities,2008,Percent,0.07217,106
Staten Island,White,2011,Percent,0.07274,36085
Fort Greene/Brooklyn Hts,Asian,2011,Percent,0.07329,302
Jamaica/St. Albans,White,2012,Percent,0.07342,412
Chelsea/Clinton,Asian,2008,Percent,0.07383,104
Midtown Business District,Asian,2008,Percent,0.07383,105
Brownsville,Asian,2012,Percent,0.07399,316
Manhattan,White,2011,Percent,0.07416,36061
Queens Village,All Races and Ethnicities,2008,Percent,0.07443,413
Battery Park/Tribeca,All Races and Ethnicities,2012,Percent,0.07513,101
Greenwich Village,All Races and Ethnicities,2012,Percent,0.07513,102
Crown Heights South,White,2011,Percent,0.07537,309
Chelsea/Clinton,White,2008,Percent,0.07572,104
Midtown Business District,White,2008,Percent,0.07572,105
St. George,White,2008,Percent,0.07595,501
Park Slope,White,2008,Percent,0.07665,306
Queens Village,All Races and Ethnicities,2011,Percent,0.07856,413
Sunnyside/Woodside,White,2012,Percent,0.07924,402
Chelsea/Clinton,White,2011,Percent,0.0794,104
Midtown Business District,White,2011,Percent,0.0794,105
South Beach,All Races and Ethnicities,2011,Percent,0.07967,502
Throgs Neck,Black,2011,Percent,0.08063,210
Upper West Side,All Races and Ethnicities,2012,Percent,0.0811,107
Jamaica/St. Albans,White,2008,Percent,0.08115,412
Battery Park/Tribeca,All Races and Ethnicities,2008,Percent,0.08126,101
Greenwich Village,All Races and Ethnicities,2008,Percent,0.08126,102
Flushing,White,2008,Percent,0.08324,407
Queens Village,White,2008,Percent,0.08332,413
Murray Hill/Stuyvesant,All Races and Ethnicities,2012,Percent,0.08438,106
Bayside,All Races and Ethnicities,2012,Percent,0.08451,411
Queens,White,2008,Percent,0.08453,36081
Upper East Side,All Races and Ethnicities,2012,Percent,0.08523,108
Borough Park,Black,2012,Percent,0.08527,312
Lower East Side,White,2011,Percent,0.08694,103
Staten Island,All Races and Ethnicities,2008,Percent,0.08721,36085
Throgs Neck,White,2008,Percent,0.08775,210
Washington Heights,White,2011,Percent,0.08896,112
Morrisania,Asian,2011,Percent,0.08898,203
East Tremont,Asian,2011,Percent,0.08898,206
Flushing,Latino,2011,Percent,0.08913,407
Chelsea/Clinton,Asian,2011,Percent,0.08968,104
Midtown Business District,Asian,2011,Percent,0.08968,105
Queens Village,Asian,2008,Percent,0.08997,413
Riverdale,Asian,2011,Percent,0.09017,208
Bayside,Asian,2012,Percent,0.09047,411
Howard Beach,Black,2011,Percent,0.09064,410
Canarsie,White,2008,Percent,0.09184,318
Rego Park/Forest Hills,Asian,2012,Percent,0.09248,406
Fort Greene/Brooklyn Hts,White,2012,Percent,0.0935,302
Throgs Neck,All Races and Ethnicities,2011,Percent,0.0941,210
Bay Ridge,White,2008,Percent,0.09467,310
Bayside,Black,2008,Percent,0.0948,411
Queens Village,Asian,2011,Percent,0.09551,413
Murray Hill/Stuyvesant,White,2011,Percent,0.09557,106
Williamsbridge,White,2008,Percent,0.09557,212
University Heights,Asian,2008,Percent,0.09606,205
Sheepshead Bay,White,2008,Percent,0.09629,315
Jamaica/St. Albans,Asian,2008,Percent,0.09746,412
Queens,White,2012,Percent,0.09802,36081
Flushing,White,2011,Percent,0.09812,407
Lower East Side,White,2012,Percent,0.09839,103
Park Slope,All Races and Ethnicities,2011,Percent,0.09855,306
South Beach,Asian,2011,Percent,0.09855,502
Throgs Neck,All Races and Ethnicities,2008,Percent,0.09893,210
Bensonhurst,Black,2011,Percent,0.09894,311
Crown Heights South,Asian,2008,Percent,0.0993,309
Chelsea/Clinton,All Races and Ethnicities,2012,Percent,0.0998,104
Midtown Business District,All Races and Ethnicities,2012,Percent,0.0998,105
Ridgewood/Glendale,White,2012,Percent,0.09998,405
Upper West Side,All Races and Ethnicities,2008,Percent,0.10003,107
Canarsie,Black,2011,Percent,0.1003,318
Fort Greene/Brooklyn Hts,White,2011,Percent,0.10042,302
Bedford Park,White,2011,Percent,0.10133,207
Queens,White,2011,Percent,0.10155,36081
Woodhaven,Black,2012,Percent,0.10178,409
Ridgewood/Glendale,Black,2012,Percent,0.10379,405
Fresh Meadows/Briarwood,White,2012,Percent,0.10399,408
Bay Ridge,Asian,2008,Percent,0.1047,310
Upper West Side,Asian,2012,Percent,0.10511,107
Sunnyside/Woodside,Black,2008,Percent,0.10552,402
Murray Hill/Stuyvesant,Latino,2011,Percent,0.10593,106
Crown Heights North,Asian,2008,Percent,0.10625,308
New York City,White,2008,Percent,0.10657,3651000
Jackson Heights,White,2011,Percent,0.10663,403
Staten Island,All Races and Ethnicities,2011,Percent,0.10701,36085
Sunnyside/Woodside,Latino,2011,Percent,0.10749,402
Canarsie,Black,2008,Percent,0.10795,318
Queens Village,Black,2012,Percent,0.10839,413
Bayside,All Races and Ethnicities,2011,Percent,0.10872,411
Central Harlem,Asian,2012,Percent,0.10886,110
Rego Park/Forest Hills,Latino,2012,Percent,0.10891,406
South Beach,Latino,2012,Percent,0.10893,502
Queens Village,All Races and Ethnicities,2012,Percent,0.10896,413
East Harlem,White,2012,Percent,0.10905,111
Bronx,White,2008,Percent,0.1091,36005
Howard Beach,Latino,2011,Percent,0.10929,410
Ridgewood/Glendale,White,2008,Percent,0.10949,405
Staten Island,All Races and Ethnicities,2012,Percent,0.10991,36085
Flushing,Black,2008,Percent,0.11055,407
Bay Ridge,All Races and Ethnicities,2008,Percent,0.11074,310
South Beach,Asian,2008,Percent,0.11132,502
Battery Park/Tribeca,Latino,2008,Percent,0.11161,101
Greenwich Village,Latino,2008,Percent,0.11161,102
Williamsbridge,Asian,2011,Percent,0.1117,212
Jackson Heights,Black,2011,Percent,0.11269,403
St. George,White,2011,Percent,0.11277,501
Upper East Side,Asian,2008,Percent,0.11385,108
Queens Village,Latino,2011,Percent,0.11388,413
Park Slope,All Races and Ethnicities,2012,Percent,0.11459,306
Battery Park/Tribeca,Black,2011,Percent,0.11486,101
Greenwich Village,Black,2011,Percent,0.11486,102
Murray Hill/Stuyvesant,All Races and Ethnicities,2011,Percent,0.11543,106
Battery Park/Tribeca,Asian,2011,Percent,0.1155,101
Greenwich Village,Asian,2011,Percent,0.1155,102
Washington Heights,White,2012,Percent,0.11554,112
Park Slope,All Races and Ethnicities,2008,Percent,0.116,306
Upper West Side,All Races and Ethnicities,2011,Percent,0.11615,107
Bay Ridge,White,2012,Percent,0.11625,310
Flatbush/Midwood,Latino,2008,Percent,0.11639,314
Queens,Black,2008,Percent,0.11639,36081
Howard Beach,White,2008,Percent,0.11647,410
Ridgewood/Glendale,All Races and Ethnicities,2008,Percent,0.11649,405
Bronx,White,2011,Percent,0.1168,36005
Upper East Side,Latino,2012,Percent,0.11737,108
Fort Greene/Brooklyn Hts,Asian,2008,Percent,0.1177,302
Sheepshead Bay,All Races and Ethnicities,2008,Percent,0.11788,315
Canarsie,All Races and Ethnicities,2008,Percent,0.11831,318
Chelsea/Clinton,All Races and Ethnicities,2008,Percent,0.1185,104
Midtown Business District,All Races and Ethnicities,2008,Percent,0.1185,105
Astoria,White,2012,Percent,0.11871,401
Bronx,White,2012,Percent,0.11881,36005
Throgs Neck,Latino,2011,Percent,0.11891,210
University Heights,White,2008,Percent,0.11897,205
Queens,Black,2011,Percent,0.11932,36081
Upper East Side,Latino,2011,Percent,0.1196,108
Woodhaven,Black,2011,Percent,0.11963,409
South Beach,Latino,2011,Percent,0.1204,502
Pelham Parkway,White,2011,Percent,0.12107,211
Tottenville,Black,2011,Percent,0.1213,503
Woodhaven,All Races and Ethnicities,2008,Percent,0.12148,409
New York City,White,2012,Percent,0.12167,3651000
East Harlem,Asian,2011,Percent,0.12182,111
Queens,All Races and Ethnicities,2008,Percent,0.12208,36081
New York City,White,2011,Percent,0.12221,3651000
Sunnyside/Woodside,All Races and Ethnicities,2008,Percent,0.1224,402
Woodhaven,White,2012,Percent,0.12249,409
Rego Park/Forest Hills,All Races and Ethnicities,2012,Percent,0.1231,406
Flushing,All Races and Ethnicities,2011,Percent,0.12313,407
Flushing,All Races and Ethnicities,2008,Percent,0.12324,407
Flatbush/Midwood,Black,2012,Percent,0.12327,314
East New York,Asian,2008,Percent,0.12379,305
East Harlem,White,2008,Percent,0.12508,111
Lower East Side,White,2008,Percent,0.12509,103
Canarsie,All Races and Ethnicities,2012,Percent,0.12555,318
Astoria,White,2008,Percent,0.12555,401
Woodhaven,White,2008,Percent,0.12574,409
Bay Ridge,White,2011,Percent,0.12581,310
Woodhaven,Latino,2008,Percent,0.12595,409
Jamaica/St. Albans,Black,2008,Percent,0.12623,412
Howard Beach,Black,2008,Percent,0.12636,410
Pelham Parkway,White,2012,Percent,0.12639,211
Sheepshead Bay,Latino,2011,Percent,0.12652,315
Fresh Meadows/Briarwood,Latino,2011,Percent,0.12682,408
Bayside,Asian,2008,Percent,0.12694,411
Brownsville,Asian,2008,Percent,0.12716,316
Jamaica/St. Albans,Black,2011,Percent,0.12768,412
Jamaica/St. Albans,All Races and Ethnicities,2008,Percent,0.12794,412
Howard Beach,Latino,2008,Percent,0.1282,410
East Harlem,Asian,2012,Percent,0.12888,111
Elmhurst/Corona,Latino,2008,Percent,0.12912,404
Ridgewood/Glendale,Latino,2008,Percent,0.12914,405
The Rockaways,All Races and Ethnicities,2008,Percent,0.12944,414
Morrisania,White,2008,Percent,0.12948,203
East Tremont,White,2008,Percent,0.12948,206
The Rockaways,White,2011,Percent,0.13081,414
Williamsbridge,Asian,2012,Percent,0.13145,212
Chelsea/Clinton,All Races and Ethnicities,2011,Percent,0.13215,104
Midtown Business District,All Races and Ethnicities,2011,Percent,0.13215,105
Washington Heights,Black,2012,Percent,0.13227,112
Queens Village,Asian,2012,Percent,0.13253,413
Woodhaven,Asian,2008,Percent,0.13261,409
Bay Ridge,All Races and Ethnicities,2011,Percent,0.13272,310
Crown Heights North,White,2011,Percent,0.13287,308
Bensonhurst,White,2011,Percent,0.13287,311
East Harlem,White,2011,Percent,0.13292,111
East Flatbush,All Races and Ethnicities,2008,Percent,0.13335,317
Park Slope,Asian,2011,Percent,0.13383,306
Unionport/Soundview,White,2008,Percent,0.13502,209
Fort Greene/Brooklyn Hts,White,2008,Percent,0.13519,302
East Flatbush,Black,2008,Percent,0.13557,317
Staten Island,Asian,2012,Percent,0.1356,36085
Brownsville,White,2012,Percent,0.13616,316
Sheepshead Bay,White,2011,Percent,0.13623,315
The Rockaways,White,2012,Percent,0.13751,414
Rego Park/Forest Hills,White,2012,Percent,0.13818,406
Park Slope,Black,2011,Percent,0.13827,306
Sunnyside/Woodside,White,2011,Percent,0.1383,402
Bayside,Asian,2011,Percent,0.13859,411
Howard Beach,White,2011,Percent,0.13867,410
Flushing,Latino,2008,Percent,0.13895,407
Canarsie,All Races and Ethnicities,2011,Percent,0.13896,318
Throgs Neck,Latino,2008,Percent,0.13907,210
Throgs Neck,All Races and Ethnicities,2012,Percent,0.13911,210
Morrisania,White,2012,Percent,0.13961,203
East Tremont,White,2012,Percent,0.13961,206
Queens,Asian,2008,Percent,0.14037,36081
Bay Ridge,Asian,2011,Percent,0.14051,310
Bensonhurst,Latino,2008,Percent,0.14066,311
Sunset Park,White,2012,Percent,0.14075,307
Flushing,Asian,2011,Percent,0.14085,407
Manhattanville,White,2008,Percent,0.14206,109
Bay Ridge,All Races and Ethnicities,2012,Percent,0.14215,310
Canarsie,Black,2012,Percent,0.14223,318
Unionport/Soundview,Asian,2008,Percent,0.14382,209
Howard Beach,All Races and Ethnicities,2012,Percent,0.14465,410
Jackson Heights,Asian,2011,Percent,0.14466,403
Howard Beach,All Races and Ethnicities,2011,Percent,0.1447,410
Williamsbridge,Black,2008,Percent,0.14472,212
Jackson Heights,Black,2012,Percent,0.14501,403
Flushing,All Races and Ethnicities,2012,Percent,0.14531,407
Howard Beach,All Races and Ethnicities,2008,Percent,0.14537,410
Manhattanville,Asian,2008,Percent,0.14542,109
Astoria,White,2011,Percent,0.14562,401
Jackson Heights,Asian,2008,Percent,0.14613,403
Sheepshead Bay,All Races and Ethnicities,2011,Percent,0.14638,315
Jamaica/St. Albans,Black,2012,Percent,0.14643,412
Sunnyside/Woodside,Asian,2008,Percent,0.14779,402
Elmhurst/Corona,White,2012,Percent,0.14814,404
Throgs Neck,Latino,2012,Percent,0.14837,210
Williamsbridge,Black,2011,Percent,0.14872,212
South Beach,Black,2012,Percent,0.14874,502
Bay Ridge,Latino,2012,Percent,0.14889,310
Sunset Park,White,2011,Percent,0.14894,307
Sunnyside/Woodside,Latino,2008,Percent,0.15008,402
East Flatbush,Black,2012,Percent,0.15048,317
Sunnyside/Woodside,All Races and Ethnicities,2011,Percent,0.15083,402
Queens,Latino,2008,Percent,0.1516,36081
Staten Island,Asian,2011,Percent,0.1516,36085
Unionport/Soundview,Black,2008,Percent,0.15166,209
Sunset Park,Black,2012,Percent,0.15188,307
Sheepshead Bay,White,2012,Percent,0.15251,315
Bay Ridge,Latino,2011,Percent,0.15263,310
Coney Island,Black,2008,Percent,0.15267,313
Ridgewood/Glendale,Asian,2008,Percent,0.15315,405
Queens,All Races and Ethnicities,2011,Percent,0.1537,36081
Ridgewood/Glendale,All Races and Ethnicities,2011,Percent,0.15386,405
Queens,Black,2012,Percent,0.15451,36081
Ridgewood/Glendale,All Races and Ethnicities,2012,Percent,0.15473,405
Woodhaven,Latino,2011,Percent,0.15493,409
Fresh Meadows/Briarwood,Latino,2012,Percent,0.15515,408
Fresh Meadows/Briarwood,Asian,2011,Percent,0.15548,408
Williamsbridge,All Races and Ethnicities,2008,Percent,0.15565,212
Bensonhurst,Asian,2008,Percent,0.1557,311
Murray Hill/Stuyvesant,Asian,2008,Percent,0.15593,106
Riverdale,All Races and Ethnicities,2012,Percent,0.156,208
Pelham Parkway,Black,2011,Percent,0.15601,211
The Rockaways,Black,2008,Percent,0.15624,414
Flushing,Asian,2008,Percent,0.15715,407
Howard Beach,Asian,2008,Percent,0.15738,410
Manhattan,All Races and Ethnicities,2008,Percent,0.15796,36061
Ridgewood/Glendale,Asian,2011,Percent,0.15818,405
Bushwick,White,2008,Percent,0.15829,304
Sheepshead Bay,Asian,2011,Percent,0.15852,315
Central Harlem,Asian,2011,Percent,0.15893,110
Coney Island,Asian,2008,Percent,0.15893,313
Astoria,All Races and Ethnicities,2012,Percent,0.15957,401
Pelham Parkway,White,2008,Percent,0.15985,211
Woodhaven,All Races and Ethnicities,2012,Percent,0.15992,409
Washington Heights,White,2008,Percent,0.15993,112
East Flatbush,All Races and Ethnicities,2012,Percent,0.16002,317
Central Harlem,White,2008,Percent,0.16004,110
Upper East Side,Asian,2012,Percent,0.16006,108
Bayside,Latino,2012,Percent,0.16033,411
Washington Heights,Black,2008,Percent,0.16044,112
Elmhurst/Corona,All Races and Ethnicities,2008,Percent,0.16115,404
Jackson Heights,White,2008,Percent,0.16116,403
Canarsie,Asian,2012,Percent,0.16126,318
Howard Beach,Black,2012,Percent,0.16207,410
Riverdale,All Races and Ethnicities,2011,Percent,0.16221,208
Staten Island,Latino,2008,Percent,0.1623,36085
Bensonhurst,All Races and Ethnicities,2008,Percent,0.16268,311
Riverdale,All Races and Ethnicities,2008,Percent,0.16322,208
East Flatbush,Latino,2008,Percent,0.16356,317
Woodhaven,All Races and Ethnicities,2011,Percent,0.16373,409
Bedford Park,Black,2012,Percent,0.16392,207
Fresh Meadows/Briarwood,All Races and Ethnicities,2011,Percent,0.1641,408
St. George,All Races and Ethnicities,2008,Percent,0.16418,501
Fresh Meadows/Briarwood,Black,2008,Percent,0.16603,408
East Flatbush,Black,2011,Percent,0.16614,317
Bensonhurst,White,2008,Percent,0.16656,311
Staten Island,Latino,2011,Percent,0.16679,36085
Bensonhurst,All Races and Ethnicities,2011,Percent,0.16684,311
Queens,All Races and Ethnicities,2012,Percent,0.1672,36081
Flatbush/Midwood,Black,2011,Percent,0.16721,314
Chelsea/Clinton,Latino,2012,Percent,0.16811,104
Midtown Business District,Latino,2012,Percent,0.16811,105
Murray Hill/Stuyvesant,Black,2011,Percent,0.16853,106
Canarsie,White,2011,Percent,0.16853,318
New York City,Asian,2008,Percent,0.16868,3651000
Sunset Park,Black,2008,Percent,0.16872,307
Queens Village,Latino,2012,Percent,0.16883,413
Williamsbridge,White,2011,Percent,0.16891,212
Chelsea/Clinton,Asian,2012,Percent,0.17001,104
Midtown Business District,Asian,2012,Percent,0.17001,105
Central Harlem,White,2011,Percent,0.17026,110
Fresh Meadows/Briarwood,White,2011,Percent,0.17084,408
Chelsea/Clinton,Latino,2008,Percent,0.17123,104
Midtown Business District,Latino,2008,Percent,0.17123,105
Sunset Park,White,2008,Percent,0.17137,307
Manhattan,All Races and Ethnicities,2011,Percent,0.17154,36061
Manhattanville,White,2012,Percent,0.1721,109
Woodhaven,Asian,2012,Percent,0.17212,409
Jamaica/St. Albans,All Races and Ethnicities,2011,Percent,0.17377,412
Crown Heights North,White,2012,Percent,0.17387,308
Astoria,All Races and Ethnicities,2008,Percent,0.17406,401
Manhattanville,White,2011,Percent,0.17417,109
Fort Greene/Brooklyn Hts,Black,2012,Percent,0.17423,302
Canarsie,Asian,2008,Percent,0.17458,318
Manhattan,All Races and Ethnicities,2012,Percent,0.17496,36061
Unionport/Soundview,Black,2011,Percent,0.17503,209
Bedford Park,White,2008,Percent,0.17573,207
Fresh Meadows/Briarwood,All Races and Ethnicities,2012,Percent,0.17604,408
Queens,Asian,2011,Percent,0.17621,36081
Murray Hill/Stuyvesant,Asian,2011,Percent,0.17798,106
Flushing,Latino,2012,Percent,0.17825,407
New York City,All Races and Ethnicities,2008,Percent,0.17836,3651000
Jamaica/St. Albans,White,2011,Percent,0.17912,412
Brooklyn,White,2008,Percent,0.17914,36047
Jamaica/St. Albans,Latino,2008,Percent,0.17992,412
Bensonhurst,White,2012,Percent,0.18039,311
St. George,All Races and Ethnicities,2011,Percent,0.18056,501
Park Slope,Latino,2008,Percent,0.18073,306
Williamsburg/Greenpoint,Asian,2011,Percent,0.18103,301
Bensonhurst,Latino,2012,Percent,0.18155,311
East Flatbush,White,2008,Percent,0.18313,317
Fort Greene/Brooklyn Hts,All Races and Ethnicities,2012,Percent,0.18343,302
Washington Heights,Asian,2011,Percent,0.18366,112
Coney Island,White,2008,Percent,0.18373,313
Flatbush/Midwood,All Races and Ethnicities,2008,Percent,0.18471,314
Park Slope,Latino,2011,Percent,0.1853,306
Flatbush/Midwood,Asian,2008,Percent,0.18547,314
Staten Island,Latino,2012,Percent,0.18576,36085
Woodhaven,Latino,2012,Percent,0.18594,409
East Flatbush,All Races and Ethnicities,2011,Percent,0.18602,317
St. George,All Races and Ethnicities,2012,Percent,0.18616,501
Sunnyside/Woodside,All Races and Ethnicities,2012,Percent,0.18656,402
Bay Ridge,Black,2008,Percent,0.18691,310
Astoria,Latino,2011,Percent,0.18699,401
New York City,Asian,2011,Percent,0.18707,3651000
Williamsburg/Greenpoint,Asian,2008,Percent,0.18788,301
The Rockaways,Black,2011,Percent,0.18795,414
Flatbush/Midwood,White,2012,Percent,0.18798,314
Coney Island,All Races and Ethnicities,2008,Percent,0.18801,313
Bensonhurst,Asian,2011,Percent,0.1883,311
Riverdale,Asian,2012,Percent,0.18848,208
Elmhurst/Corona,White,2011,Percent,0.18889,404
Brooklyn,Asian,2008,Percent,0.18893,36047
Jamaica/St. Albans,All Races and Ethnicities,2012,Percent,0.18904,412
Staten Island,Black,2011,Percent,0.18917,36085
Flushing,Asian,2012,Percent,0.18942,407
