"Name","Asthma Hospitalizations"
"Description","<normal><g class=""gr_ gr_5 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""5"" data-gr-id=""5"">Number</g> of asthma hospitalizations among NYC resident children by age groups (0 to 4, 5 to 17 and 0 to 17).<br />
<g class=""gr_ gr_6 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""6"" data-gr-id=""6"">Rate</g> of asthma hospitalizations per 10,000 children in specific age groups (0 to 4, 5 to 17 and 0 to 17).<br />
<br />
</normal>"
"Source Notes","New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data, retrieved from&nbsp;<g class=""gr_ gr_5 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins replaceWithoutSep"" id=""5"" data-gr-id=""5"">New</g>&nbsp;York City Department of Health and Mental Hygiene NYC Tracking Program: Environment and Health Data Portal. [Asthma Hospitalizations; 2000-2016].&nbsp;<a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/"" target=""_blank"">http://a816-dohbesp.nyc.gov/IndicatorPublic/</a>"
"Notes","<normal>Rates are calculated by using number of asthma hospitalizations among NYC resident children for particular age group, divided by the population of children for the same age group, expressed as cases per 10,000 resident children for the respective age group (i.e. asthma hospitalization among NYC resident children ages 0 to 4, divided by the population of children ages 0 to 4, expressed as cases per 10,000 population ages 0 to 4).<br />
<br />
UHFs with the value of&nbsp;<strong>0</strong>&nbsp;represent data suppressed by DOHMH due to small sample size or insufficient data.&nbsp;<br />
</normal>"

Location,Age Group,TimeFrame,DataFormat,Data,Fips
Long Island City - Astoria,0 to 4 years,2011,Rate,33.7,uhf401
Long Island City - Astoria,0 to 4 years,2011,Number,36,uhf401
Long Island City - Astoria,5 to 17 Years,2011,Number,44,uhf401
Long Island City - Astoria,5 to 17 Years,2011,Rate,20.4,uhf401
Lower Manhattan,0 to 4 years,2011,Number,9,uhf310
Lower Manhattan,0 to 4 years,2011,Rate,26,uhf310
Lower Manhattan,5 to 17 Years,2011,Number,0,uhf310
Lower Manhattan,5 to 17 Years,2011,Rate,12.6,uhf310
Manhattan,0 to 4 years,2011,Rate,58.8,36061
Manhattan,0 to 4 years,2011,Number,472,36061
Manhattan,5 to 17 Years,2011,Number,431,36061
Manhattan,5 to 17 Years,2011,Rate,27.5,36061
New York City,0 to 4 years,2011,Rate,76.1,3651000
New York City,0 to 4 years,2011,Number,4073,3651000
New York City,5 to 17 Years,2011,Number,3652,3651000
New York City,5 to 17 Years,2011,Rate,29.5,3651000
Northeast Bronx,0 to 4 years,2011,Number,152,uhf102
Northeast Bronx,0 to 4 years,2011,Rate,128.7,uhf102
Northeast Bronx,5 to 17 Years,2011,Number,151,uhf102
Northeast Bronx,5 to 17 Years,2011,Rate,44.7,uhf102
Pelham - Throgs Neck,0 to 4 years,2011,Number,286,uhf104
Pelham - Throgs Neck,0 to 4 years,2011,Rate,139.8,uhf104
Pelham - Throgs Neck,5 to 17 Years,2011,Number,266,uhf104
Pelham - Throgs Neck,5 to 17 Years,2011,Rate,51,uhf104
Port  Richmond,0 to 4 years,2011,Rate,65.5,uhf501
Port  Richmond,0 to 4 years,2011,Number,35,uhf501
Port  Richmond,5 to 17 Years,2011,Number,30,uhf501
Port  Richmond,5 to 17 Years,2011,Rate,22,uhf501
Queens,0 to 4 years,2011,Number,731,36081
Queens,0 to 4 years,2011,Rate,53.5,36081
Queens,5 to 17 Years,2011,Number,578,36081
Queens,5 to 17 Years,2011,Rate,17.7,36081
Ridgewood - Forest Hills,0 to 4 years,2011,Rate,60.4,uhf405
Ridgewood - Forest Hills,0 to 4 years,2011,Number,90,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2011,Number,59,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2011,Rate,18.3,uhf405
Rockaway,0 to 4 years,2011,Number,64,uhf410
Rockaway,0 to 4 years,2011,Rate,70.2,uhf410
Rockaway,5 to 17 Years,2011,Number,68,uhf410
Rockaway,5 to 17 Years,2011,Rate,30.5,uhf410
South Beach - Tottenville,0 to 4 years,2011,Number,13,uhf504
South Beach - Tottenville,0 to 4 years,2011,Rate,12.5,uhf504
South Beach - Tottenville,5 to 17 Years,2011,Number,23,uhf504
South Beach - Tottenville,5 to 17 Years,2011,Rate,7.1,uhf504
Southeast Queens,0 to 4 years,2011,Rate,83.2,uhf409
Southeast Queens,0 to 4 years,2011,Number,88,uhf409
Southeast Queens,5 to 17 Years,2011,Number,69,uhf409
Southeast Queens,5 to 17 Years,2011,Rate,21.4,uhf409
Southwest Queens,0 to 4 years,2011,Rate,63.3,uhf407
Southwest Queens,0 to 4 years,2011,Number,105,uhf407
Southwest Queens,5 to 17 Years,2011,Number,65,uhf407
Southwest Queens,5 to 17 Years,2011,Rate,13.8,uhf407
Stapleton - St. George,0 to 4 years,2011,Number,30,uhf502
Stapleton - St. George,0 to 4 years,2011,Rate,39,uhf502
Stapleton - St. George,5 to 17 Years,2011,Number,33,uhf502
Stapleton - St. George,5 to 17 Years,2011,Rate,16.2,uhf502
Staten Island,0 to 4 years,2011,Rate,30.4,36085
Staten Island,0 to 4 years,2011,Number,86,36085
Staten Island,5 to 17 Years,2011,Number,97,36085
Staten Island,5 to 17 Years,2011,Rate,12.2,36085
Sunset Park,0 to 4 years,2011,Number,39,uhf205
Sunset Park,0 to 4 years,2011,Rate,38.9,uhf205
Sunset Park,5 to 17 Years,2011,Number,25,uhf205
Sunset Park,5 to 17 Years,2011,Rate,12.6,uhf205
Union Square - Lower East Side,0 to 4 years,2011,Rate,53.9,uhf309
Union Square - Lower East Side,0 to 4 years,2011,Number,41,uhf309
Union Square - Lower East Side,5 to 17 Years,2011,Number,26,uhf309
Union Square - Lower East Side,5 to 17 Years,2011,Rate,16.1,uhf309
Upper East Side,0 to 4 years,2011,Rate,28,uhf305
Upper East Side,0 to 4 years,2011,Number,33,uhf305
Upper East Side,5 to 17 Years,2011,Number,18,uhf305
Upper East Side,5 to 17 Years,2011,Rate,9.2,uhf305
Upper West Side,0 to 4 years,2011,Number,35,uhf304
Upper West Side,0 to 4 years,2011,Rate,28.8,uhf304
Upper West Side,5 to 17 Years,2011,Number,40,uhf304
Upper West Side,5 to 17 Years,2011,Rate,20.3,uhf304
Washington Heights - Inwood,0 to 4 years,2011,Rate,59.7,uhf301
Washington Heights - Inwood,0 to 4 years,2011,Number,87,uhf301
Washington Heights - Inwood,5 to 17 Years,2011,Number,77,uhf301
Washington Heights - Inwood,5 to 17 Years,2011,Rate,21.8,uhf301
West Queens,0 to 4 years,2011,Number,111,uhf402
West Queens,0 to 4 years,2011,Rate,34,uhf402
West Queens,5 to 17 Years,2011,Number,76,uhf402
West Queens,5 to 17 Years,2011,Rate,11.7,uhf402
Williamsburg - Bushwick,0 to 4 years,2011,Number,181,uhf211
Williamsburg - Bushwick,0 to 4 years,2011,Rate,110.9,uhf211
Williamsburg - Bushwick,5 to 17 Years,2011,Number,206,uhf211
Williamsburg - Bushwick,5 to 17 Years,2011,Rate,52,uhf211
Willowbrook,0 to 4 years,2011,Rate,16.4,uhf503
Willowbrook,0 to 4 years,2011,Number,8,uhf503
Willowbrook,5 to 17 Years,2011,Number,10,uhf503
Willowbrook,5 to 17 Years,2011,Rate,7.5,uhf503
Bayside - Little Neck,0 to 4 years,2012,Number,18,uhf404
Bayside - Little Neck,0 to 4 years,2012,Rate,43.2,uhf404
Bayside - Little Neck,5 to 17 Years,2012,Number,13,uhf404
Bayside - Little Neck,5 to 17 Years,2012,Rate,10.3,uhf404
Bedford Stuyvesant - Crown Heights,0 to 4 years,2012,Number,291,uhf203
Bedford Stuyvesant - Crown Heights,0 to 4 years,2012,Rate,123.1,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2012,Number,300,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2012,Rate,55.7,uhf203
Bensonhurst - Bay Ridge,0 to 4 years,2012,Number,24,uhf209
Bensonhurst - Bay Ridge,0 to 4 years,2012,Rate,18.8,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2012,Number,20,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2012,Rate,7.1,uhf209
Borough Park,0 to 4 years,2012,Rate,15.2,uhf206
Borough Park,0 to 4 years,2012,Number,49,uhf206
Borough Park,5 to 17 Years,2012,Number,41,uhf206
Borough Park,5 to 17 Years,2012,Rate,6.2,uhf206
Bronx,0 to 4 years,2012,Number,1601,36005
Bronx,0 to 4 years,2012,Rate,148.8,36005
Bronx,5 to 17 Years,2012,Number,1588,36005
Bronx,5 to 17 Years,2012,Rate,61,36005
Brooklyn,0 to 4 years,2012,Rate,64.1,36047
Brooklyn,0 to 4 years,2012,Number,1202,36047
Brooklyn,5 to 17 Years,2012,Number,1193,36047
Brooklyn,5 to 17 Years,2012,Rate,29,36047
Canarsie - Flatlands,0 to 4 years,2012,Rate,79.2,uhf208
Canarsie - Flatlands,0 to 4 years,2012,Number,98,uhf208
Canarsie - Flatlands,5 to 17 Years,2012,Number,93,uhf208
Canarsie - Flatlands,5 to 17 Years,2012,Rate,26.9,uhf208
Central Harlem - Morningside Heights,0 to 4 years,2012,Number,147,uhf302
Central Harlem - Morningside Heights,0 to 4 years,2012,Rate,145.2,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2012,Number,152,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2012,Rate,62.1,uhf302
Chelsea - Clinton,0 to 4 years,2012,Number,15,uhf306
Chelsea - Clinton,0 to 4 years,2012,Rate,28.9,uhf306
Chelsea - Clinton,5 to 17 Years,2012,Number,15,uhf306
Chelsea - Clinton,5 to 17 Years,2012,Rate,21,uhf306
Coney Island - Sheepshead Bay,0 to 4 years,2012,Rate,22.2,uhf210
Coney Island - Sheepshead Bay,0 to 4 years,2012,Number,39,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2012,Number,46,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2012,Rate,11.7,uhf210
Crotona - Tremont,0 to 4 years,2012,Rate,142.6,uhf105
Crotona - Tremont,0 to 4 years,2012,Number,261,uhf105
Crotona - Tremont,5 to 17 Years,2012,Number,263,uhf105
Crotona - Tremont,5 to 17 Years,2012,Rate,59.4,uhf105
Downtown  - Heights - Slope,0 to 4 years,2012,Rate,59.8,uhf202
Downtown  - Heights - Slope,0 to 4 years,2012,Number,99,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2012,Number,72,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2012,Rate,26.9,uhf202
East Flatbush - Flatbush,0 to 4 years,2012,Number,220,uhf207
East Flatbush - Flatbush,0 to 4 years,2012,Rate,106.3,uhf207
East Flatbush - Flatbush,5 to 17 Years,2012,Number,167,uhf207
East Flatbush - Flatbush,5 to 17 Years,2012,Rate,35.1,uhf207
East Harlem,0 to 4 years,2012,Rate,133.3,uhf303
East Harlem,0 to 4 years,2012,Number,97,uhf303
East Harlem,5 to 17 Years,2012,Number,106,uhf303
East Harlem,5 to 17 Years,2012,Rate,62.4,uhf303
East New York,0 to 4 years,2012,Rate,113,uhf204
East New York,0 to 4 years,2012,Number,173,uhf204
East New York,5 to 17 Years,2012,Number,156,uhf204
East New York,5 to 17 Years,2012,Rate,41.3,uhf204
Flushing - Clearview,0 to 4 years,2012,Rate,32.5,uhf403
Flushing - Clearview,0 to 4 years,2012,Number,43,uhf403
Flushing - Clearview,5 to 17 Years,2012,Number,25,uhf403
Flushing - Clearview,5 to 17 Years,2012,Rate,8.2,uhf403
Fordham - Bronx Park,0 to 4 years,2012,Rate,131.6,uhf103
Fordham - Bronx Park,0 to 4 years,2012,Number,275,uhf103
Fordham - Bronx Park,5 to 17 Years,2012,Number,284,uhf103
Fordham - Bronx Park,5 to 17 Years,2012,Rate,60.8,uhf103
Fresh Meadows,0 to 4 years,2012,Number,15,uhf406
Fresh Meadows,0 to 4 years,2012,Rate,22.5,uhf406
Fresh Meadows,5 to 17 Years,2012,Number,22,uhf406
Fresh Meadows,5 to 17 Years,2012,Rate,15.3,uhf406
Gramercy Park -  Murray Hill,0 to 4 years,2012,Rate,26.5,uhf307
Gramercy Park -  Murray Hill,0 to 4 years,2012,Number,13,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2012,Number,0,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2012,Rate,12.8,uhf307
Greenpoint,0 to 4 years,2012,Number,15,uhf201
Greenpoint,0 to 4 years,2012,Rate,15.5,uhf201
Greenpoint,5 to 17 Years,2012,Number,19,uhf201
Greenpoint,5 to 17 Years,2012,Rate,10.3,uhf201
Greenwich Village - Soho,0 to 4 years,2012,Number,7,uhf308
Greenwich Village - Soho,0 to 4 years,2012,Rate,19.1,uhf308
Greenwich Village - Soho,5 to 17 Years,2012,Number,0,uhf308
Greenwich Village - Soho,5 to 17 Years,2012,Rate,5.7,uhf308
High Bridge - Morrisania,0 to 4 years,2012,Number,296,uhf106
High Bridge - Morrisania,0 to 4 years,2012,Rate,164.5,uhf106
High Bridge - Morrisania,5 to 17 Years,2012,Number,275,uhf106
High Bridge - Morrisania,5 to 17 Years,2012,Rate,62.5,uhf106
Hunts Point - Mott Haven,0 to 4 years,2012,Rate,203.3,uhf107
Hunts Point - Mott Haven,0 to 4 years,2012,Number,244,uhf107
Hunts Point - Mott Haven,5 to 17 Years,2012,Number,257,uhf107
Hunts Point - Mott Haven,5 to 17 Years,2012,Rate,87.6,uhf107
Jamaica,0 to 4 years,2012,Number,153,uhf408
Jamaica,0 to 4 years,2012,Rate,82.7,uhf408
Jamaica,5 to 17 Years,2012,Number,104,uhf408
Jamaica,5 to 17 Years,2012,Rate,21,uhf408
Kingsbridge - Riverdale,0 to 4 years,2012,Rate,65.2,uhf101
Kingsbridge - Riverdale,0 to 4 years,2012,Number,40,uhf101
Kingsbridge - Riverdale,5 to 17 Years,2012,Number,27,uhf101
Kingsbridge - Riverdale,5 to 17 Years,2012,Rate,22.4,uhf101
Long Island City - Astoria,0 to 4 years,2012,Rate,31.3,uhf401
Long Island City - Astoria,0 to 4 years,2012,Number,34,uhf401
Long Island City - Astoria,5 to 17 Years,2012,Number,36,uhf401
Long Island City - Astoria,5 to 17 Years,2012,Rate,16.6,uhf401
Lower Manhattan,0 to 4 years,2012,Number,0,uhf310
Lower Manhattan,0 to 4 years,2012,Rate,0,uhf310
Lower Manhattan,5 to 17 Years,2012,Number,0,uhf310
Lower Manhattan,5 to 17 Years,2012,Rate,9.9,uhf310
Manhattan,0 to 4 years,2012,Number,477,36061
Manhattan,0 to 4 years,2012,Rate,57.4,36061
Manhattan,5 to 17 Years,2012,Number,462,36061
Manhattan,5 to 17 Years,2012,Rate,29.5,36061
New York City,0 to 4 years,2012,Rate,75.6,3651000
New York City,0 to 4 years,2012,Number,4120,3651000
New York City,5 to 17 Years,2012,Number,3947,3651000
New York City,5 to 17 Years,2012,Rate,32,3651000
Northeast Bronx,0 to 4 years,2012,Number,163,uhf102
Northeast Bronx,0 to 4 years,2012,Rate,135.9,uhf102
Northeast Bronx,5 to 17 Years,2012,Number,157,uhf102
Northeast Bronx,5 to 17 Years,2012,Rate,47,uhf102
Pelham - Throgs Neck,0 to 4 years,2012,Number,321,uhf104
Pelham - Throgs Neck,0 to 4 years,2012,Rate,153.9,uhf104
Pelham - Throgs Neck,5 to 17 Years,2012,Number,288,uhf104
Pelham - Throgs Neck,5 to 17 Years,2012,Rate,55.4,uhf104
Port  Richmond,0 to 4 years,2012,Rate,65.8,uhf501
Port  Richmond,0 to 4 years,2012,Number,35,uhf501
Port  Richmond,5 to 17 Years,2012,Number,44,uhf501
Port  Richmond,5 to 17 Years,2012,Rate,32.6,uhf501
Queens,0 to 4 years,2012,Rate,53.2,36081
Queens,0 to 4 years,2012,Number,737,36081
Queens,5 to 17 Years,2012,Number,600,36081
Queens,5 to 17 Years,2012,Rate,18.4,36081
Ridgewood - Forest Hills,0 to 4 years,2012,Rate,46.9,uhf405
Ridgewood - Forest Hills,0 to 4 years,2012,Number,71,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2012,Number,75,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2012,Rate,23.2,uhf405
Rockaway,0 to 4 years,2012,Number,42,uhf410
Rockaway,0 to 4 years,2012,Rate,45.4,uhf410
Rockaway,5 to 17 Years,2012,Number,44,uhf410
Rockaway,5 to 17 Years,2012,Rate,19.9,uhf410
South Beach - Tottenville,0 to 4 years,2012,Number,15,uhf504
South Beach - Tottenville,0 to 4 years,2012,Rate,14.6,uhf504
South Beach - Tottenville,5 to 17 Years,2012,Number,23,uhf504
South Beach - Tottenville,5 to 17 Years,2012,Rate,7.2,uhf504
Southeast Queens,0 to 4 years,2012,Rate,78.4,uhf409
Southeast Queens,0 to 4 years,2012,Number,84,uhf409
Southeast Queens,5 to 17 Years,2012,Number,92,uhf409
Southeast Queens,5 to 17 Years,2012,Rate,28.9,uhf409
Southwest Queens,0 to 4 years,2012,Rate,79.1,uhf407
Southwest Queens,0 to 4 years,2012,Number,133,uhf407
Southwest Queens,5 to 17 Years,2012,Number,85,uhf407
Southwest Queens,5 to 17 Years,2012,Rate,18.1,uhf407
Stapleton - St. George,0 to 4 years,2012,Number,39,uhf502
Stapleton - St. George,0 to 4 years,2012,Rate,51.2,uhf502
Stapleton - St. George,5 to 17 Years,2012,Number,26,uhf502
Stapleton - St. George,5 to 17 Years,2012,Rate,12.9,uhf502
Staten Island,0 to 4 years,2012,Number,103,36085
Staten Island,0 to 4 years,2012,Rate,36.8,36085
Staten Island,5 to 17 Years,2012,Number,104,36085
Staten Island,5 to 17 Years,2012,Rate,13.2,36085
Sunset Park,0 to 4 years,2012,Number,27,uhf205
Sunset Park,0 to 4 years,2012,Rate,26.3,uhf205
Sunset Park,5 to 17 Years,2012,Number,30,uhf205
Sunset Park,5 to 17 Years,2012,Rate,15.1,uhf205
Union Square - Lower East Side,0 to 4 years,2012,Rate,56.4,uhf309
Union Square - Lower East Side,0 to 4 years,2012,Number,45,uhf309
Union Square - Lower East Side,5 to 17 Years,2012,Number,32,uhf309
Union Square - Lower East Side,5 to 17 Years,2012,Rate,19.8,uhf309
Upper East Side,0 to 4 years,2012,Rate,28.7,uhf305
Upper East Side,0 to 4 years,2012,Number,35,uhf305
Upper East Side,5 to 17 Years,2012,Number,18,uhf305
Upper East Side,5 to 17 Years,2012,Rate,9.1,uhf305
Upper West Side,0 to 4 years,2012,Number,28,uhf304
Upper West Side,0 to 4 years,2012,Rate,22.3,uhf304
Upper West Side,5 to 17 Years,2012,Number,29,uhf304
Upper West Side,5 to 17 Years,2012,Rate,14.5,uhf304
Washington Heights - Inwood,0 to 4 years,2012,Rate,56.9,uhf301
Washington Heights - Inwood,0 to 4 years,2012,Number,86,uhf301
Washington Heights - Inwood,5 to 17 Years,2012,Number,74,uhf301
Washington Heights - Inwood,5 to 17 Years,2012,Rate,21.2,uhf301
West Queens,0 to 4 years,2012,Number,143,uhf402
West Queens,0 to 4 years,2012,Rate,43.1,uhf402
West Queens,5 to 17 Years,2012,Number,91,uhf402
West Queens,5 to 17 Years,2012,Rate,14,uhf402
Williamsburg - Bushwick,0 to 4 years,2012,Number,166,uhf211
Williamsburg - Bushwick,0 to 4 years,2012,Rate,99.7,uhf211
Williamsburg - Bushwick,5 to 17 Years,2012,Number,221,uhf211
Williamsburg - Bushwick,5 to 17 Years,2012,Rate,56.4,uhf211
Willowbrook,0 to 4 years,2012,Rate,29.1,uhf503
Willowbrook,0 to 4 years,2012,Number,14,uhf503
Willowbrook,5 to 17 Years,2012,Number,0,uhf503
Willowbrook,5 to 17 Years,2012,Rate,6.8,uhf503
Bayside - Little Neck,0 to 4 years,2013,Number,12,uhf404
Bayside - Little Neck,0 to 4 years,2013,Rate,27.1,uhf404
Bayside - Little Neck,5 to 17 Years,2013,Number,0,uhf404
Bayside - Little Neck,5 to 17 Years,2013,Rate,7.1,uhf404
Bedford Stuyvesant - Crown Heights,0 to 4 years,2013,Number,295,uhf203
Bedford Stuyvesant - Crown Heights,0 to 4 years,2013,Rate,127.7,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2013,Number,286,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2013,Rate,54.1,uhf203
Bensonhurst - Bay Ridge,0 to 4 years,2013,Number,15,uhf209
Bensonhurst - Bay Ridge,0 to 4 years,2013,Rate,10.7,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2013,Number,15,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2013,Rate,5.3,uhf209
Borough Park,0 to 4 years,2013,Rate,11.8,uhf206
Borough Park,0 to 4 years,2013,Number,41,uhf206
Borough Park,5 to 17 Years,2013,Number,29,uhf206
Borough Park,5 to 17 Years,2013,Rate,4.4,uhf206
Bronx,0 to 4 years,2013,Rate,145.9,36005
Bronx,0 to 4 years,2013,Number,1574,36005
Bronx,5 to 17 Years,2013,Number,1592,36005
Bronx,5 to 17 Years,2013,Rate,61.4,36005
Brooklyn,0 to 4 years,2013,Number,1107,36047
Brooklyn,0 to 4 years,2013,Rate,56.9,36047
Brooklyn,5 to 17 Years,2013,Number,1126,36047
Brooklyn,5 to 17 Years,2013,Rate,27.4,36047
Canarsie - Flatlands,0 to 4 years,2013,Rate,86.9,uhf208
Canarsie - Flatlands,0 to 4 years,2013,Number,106,uhf208
Canarsie - Flatlands,5 to 17 Years,2013,Number,85,uhf208
Canarsie - Flatlands,5 to 17 Years,2013,Rate,24.9,uhf208
Central Harlem - Morningside Heights,0 to 4 years,2013,Number,131,uhf302
Central Harlem - Morningside Heights,0 to 4 years,2013,Rate,127.2,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2013,Number,145,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2013,Rate,60.1,uhf302
Chelsea - Clinton,0 to 4 years,2013,Number,11,uhf306
Chelsea - Clinton,0 to 4 years,2013,Rate,21,uhf306
Chelsea - Clinton,5 to 17 Years,2013,Number,10,uhf306
Chelsea - Clinton,5 to 17 Years,2013,Rate,13.8,uhf306
Coney Island - Sheepshead Bay,0 to 4 years,2013,Rate,19.1,uhf210
Coney Island - Sheepshead Bay,0 to 4 years,2013,Number,36,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2013,Number,38,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2013,Rate,9.6,uhf210
Crotona - Tremont,0 to 4 years,2013,Rate,151.1,uhf105
Crotona - Tremont,0 to 4 years,2013,Number,277,uhf105
Crotona - Tremont,5 to 17 Years,2013,Number,282,uhf105
Crotona - Tremont,5 to 17 Years,2013,Rate,63.9,uhf105
Downtown  - Heights - Slope,0 to 4 years,2013,Rate,38.8,uhf202
Downtown  - Heights - Slope,0 to 4 years,2013,Number,68,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2013,Number,62,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2013,Rate,22.9,uhf202
East Flatbush - Flatbush,0 to 4 years,2013,Number,213,uhf207
East Flatbush - Flatbush,0 to 4 years,2013,Rate,105.2,uhf207
East Flatbush - Flatbush,5 to 17 Years,2013,Number,196,uhf207
East Flatbush - Flatbush,5 to 17 Years,2013,Rate,41.8,uhf207
East Harlem,0 to 4 years,2013,Rate,140.4,uhf303
East Harlem,0 to 4 years,2013,Number,104,uhf303
East Harlem,5 to 17 Years,2013,Number,118,uhf303
East Harlem,5 to 17 Years,2013,Rate,70.4,uhf303
East New York,0 to 4 years,2013,Rate,109,uhf204
East New York,0 to 4 years,2013,Number,166,uhf204
East New York,5 to 17 Years,2013,Number,180,uhf204
East New York,5 to 17 Years,2013,Rate,48.5,uhf204
Flushing - Clearview,0 to 4 years,2013,Rate,29.8,uhf403
Flushing - Clearview,0 to 4 years,2013,Number,42,uhf403
Flushing - Clearview,5 to 17 Years,2013,Number,40,uhf403
Flushing - Clearview,5 to 17 Years,2013,Rate,13.1,uhf403
Fordham - Bronx Park,0 to 4 years,2013,Rate,138.6,uhf103
Fordham - Bronx Park,0 to 4 years,2013,Number,291,uhf103
Fordham - Bronx Park,5 to 17 Years,2013,Number,298,uhf103
Fordham - Bronx Park,5 to 17 Years,2013,Rate,64,uhf103
Fresh Meadows,0 to 4 years,2013,Number,28,uhf406
Fresh Meadows,0 to 4 years,2013,Rate,40.2,uhf406
Fresh Meadows,5 to 17 Years,2013,Number,21,uhf406
Fresh Meadows,5 to 17 Years,2013,Rate,14.6,uhf406
Gramercy Park -  Murray Hill,0 to 4 years,2013,Rate,32.4,uhf307
Gramercy Park -  Murray Hill,0 to 4 years,2013,Number,16,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2013,Number,0,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2013,Rate,12.6,uhf307
Greenpoint,0 to 4 years,2013,Number,14,uhf201
Greenpoint,0 to 4 years,2013,Rate,13.6,uhf201
Greenpoint,5 to 17 Years,2013,Number,12,uhf201
Greenpoint,5 to 17 Years,2013,Rate,6.4,uhf201
Greenwich Village - Soho,0 to 4 years,2013,Number,6,uhf308
Greenwich Village - Soho,0 to 4 years,2013,Rate,16.3,uhf308
Greenwich Village - Soho,5 to 17 Years,2013,Number,0,uhf308
Greenwich Village - Soho,5 to 17 Years,2013,Rate,0,uhf308
High Bridge - Morrisania,0 to 4 years,2013,Number,343,uhf106
High Bridge - Morrisania,0 to 4 years,2013,Rate,190.6,uhf106
High Bridge - Morrisania,5 to 17 Years,2013,Number,284,uhf106
High Bridge - Morrisania,5 to 17 Years,2013,Rate,64.9,uhf106
Hunts Point - Mott Haven,0 to 4 years,2013,Rate,177.1,uhf107
Hunts Point - Mott Haven,0 to 4 years,2013,Number,213,uhf107
Hunts Point - Mott Haven,5 to 17 Years,2013,Number,240,uhf107
Hunts Point - Mott Haven,5 to 17 Years,2013,Rate,82.1,uhf107
Jamaica,0 to 4 years,2013,Number,166,uhf408
Jamaica,0 to 4 years,2013,Rate,88.8,uhf408
Jamaica,5 to 17 Years,2013,Number,122,uhf408
Jamaica,5 to 17 Years,2013,Rate,24.8,uhf408
Kingsbridge - Riverdale,0 to 4 years,2013,Rate,41.8,uhf101
Kingsbridge - Riverdale,0 to 4 years,2013,Number,26,uhf101
Kingsbridge - Riverdale,5 to 17 Years,2013,Number,46,uhf101
Kingsbridge - Riverdale,5 to 17 Years,2013,Rate,38.3,uhf101
Long Island City - Astoria,0 to 4 years,2013,Rate,22.1,uhf401
Long Island City - Astoria,0 to 4 years,2013,Number,25,uhf401
Long Island City - Astoria,5 to 17 Years,2013,Number,41,uhf401
Long Island City - Astoria,5 to 17 Years,2013,Rate,18.8,uhf401
Lower Manhattan,0 to 4 years,2013,Number,4,uhf310
Lower Manhattan,0 to 4 years,2013,Rate,11,uhf310
Lower Manhattan,5 to 17 Years,2013,Number,0,uhf310
Lower Manhattan,5 to 17 Years,2013,Rate,7.3,uhf310
Manhattan,0 to 4 years,2013,Rate,53.1,36061
Manhattan,0 to 4 years,2013,Number,446,36061
Manhattan,5 to 17 Years,2013,Number,455,36061
Manhattan,5 to 17 Years,2013,Rate,29.1,36061
New York City,0 to 4 years,2013,Rate,69.4,3651000
New York City,0 to 4 years,2013,Number,3869,3651000
New York City,5 to 17 Years,2013,Number,3869,3651000
New York City,5 to 17 Years,2013,Rate,31.5,3651000
Northeast Bronx,0 to 4 years,2013,Number,147,uhf102
Northeast Bronx,0 to 4 years,2013,Rate,123.4,uhf102
Northeast Bronx,5 to 17 Years,2013,Number,172,uhf102
Northeast Bronx,5 to 17 Years,2013,Rate,52,uhf102
Pelham - Throgs Neck,0 to 4 years,2013,Number,277,uhf104
